,Unnamed: 0.1,Unnamed: 0,Name,Bbox,Class,fname,split,x1,x2,y1,y2,cluster_dbscan,cluster_threshold,split_dbscan,split_threshold,cross_val
0,0,0,1001958.jpg,"0.7075520833333333,0.5319444444444444,0.2828125,0.31805555555555554",1,train_data_minprirodi/images/1001958.jpg,train,1087,1629,537,995,16,15,train,train,1
1,1,1,1001958.jpg,"0.09505208333333333,0.6305555555555555,0.19010416666666666,0.3194444444444444",0,train_data_minprirodi/images/1001958.jpg,train,0,365,678,1138,16,15,train,train,1
2,2,2,1001958.jpg,"0.031510416666666666,0.7434027777777777,0.06302083333333333,0.15208333333333332",0,train_data_minprirodi/images/1001958.jpg,train,0,121,961,1180,16,15,train,train,1
3,3,3,1002155.jpg,"0.8135416666666667,0.6976851851851852,0.371875,0.5935185185185186",0,train_data_minprirodi/images/1002155.jpg,train,1205,1919,433,1074,24,27,train,train,1
4,4,4,1002155.jpg,"0.3221354166666667,0.7939814814814815,0.47760416666666666,0.4064814814814815",0,train_data_minprirodi/images/1002155.jpg,train,160,1077,638,1077,24,27,train,train,1
5,5,5,1003251.jpg,"0.3736979166666667,0.674074074074074,0.4088541666666667,0.5592592592592592",1,train_data_minprirodi/images/1003251.jpg,train,325,1110,426,1030,17,16,train,train,0
6,6,6,1003657.jpg,"0.36276041666666664,0.6388888888888888,0.4671875,0.42916666666666664",1,train_data_minprirodi/images/1003657.jpg,train,247,1145,610,1229,52,67,train,train,1
7,7,7,1003657.jpg,"0.9200520833333333,0.6291666666666667,0.15989583333333332,0.475",0,train_data_minprirodi/images/1003657.jpg,train,1613,1920,564,1248,52,67,train,train,1
8,8,8,1003984.jpg,"0.20546875,0.6142361111111111,0.4078125,0.27847222222222223",0,train_data_minprirodi/images/1003984.jpg,train,2,786,684,1085,15,14,train,train,0
9,9,9,1004371.jpg,"0.3671875,0.6921296296296297,0.28020833333333334,0.33796296296296297",1,train_data_minprirodi/images/1004371.jpg,train,436,974,565,930,4,4,train,train,3
10,10,10,1004391.jpg,"0.5348958333333333,0.5385416666666667,0.19583333333333333,0.4409722222222222",1,train_data_minprirodi/images/1004391.jpg,train,839,1215,458,1093,0,0,train,train,0
11,11,11,1005357.jpg,"0.26848958333333334,0.43125,0.5369791666666667,0.6333333333333333",1,train_data_minprirodi/images/1005357.jpg,train,0,1031,165,1077,5,5,train,train,2
